,runtime,has_tagline,release_year,release_month,is_indie,log_budget,is_mid_budget,is_summer,is_holiday,is_dump_month,month_sin,month_cos,decade,genre_Action,genre_Adventure,genre_Animation,genre_Comedy,genre_Crime,genre_Documentary,genre_Drama,genre_Family,genre_Fantasy,genre_History,genre_Horror,genre_Music,genre_Mystery,genre_Romance,genre_Science_Fiction,genre_Thriller,genre_War,genre_Western,is_franchise_genre,is_drama_only,has_superhero,has_sequel,has_imax,has_3d,has_franchise,has_dystopia,has_novel_adaptation,has_independent,tagline_length,tagline_word_count,is_english,director_film_count,director_median_revenue,actor1_median_revenue,is_top_director,is_top_actor,is_unknown_director,is_major_studio,studio_count,is_co_production,is_long_film,is_short_film
3786,-0.6412152309059795,1,0.920553587458562,1.198492884522192,0,-0.8079560529660256,0,0,1,0,-0.5880586402315643,1.2282044867227522,0.9144100848100111,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1072881089082406,0.2240676025959998,1,-0.8228302160912931,-0.45081000205104355,-0.49500952891680766,0,0,0,0,-0.500349896772829,1,0,0
1265,0.4232769686755878,0,0.920553587458562,0.018589331410981062,0,0.31672973905636365,0,1,0,0,-0.5880586402315634,-1.2468593807760893,0.9144100848100111,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-1.411139184570697,-1.4010723642603695,1,-0.08581954116253038,0.26335628197856875,-0.06207019190318178,0,0,0,0,-0.05359360505278807,1,0,0
3761,-0.5444432127622008,1,0.44928402154506664,0.6085411079665866,0,-0.7779747114545321,0,0,0,1,-1.2927838788882173,-0.009327447026668503,0.15458926473661724,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-0.0065939381026797255,0.020925106738953654,1,-0.8228302160912931,-0.45081000205104355,-0.7260731849511143,0,0,0,0,-0.94710618849287,0,0,0
1249,-0.5444432127622008,1,0.05655938328382048,1.4934687727999947,0,0.46331409415125124,0,0,1,0,0.11666659842508961,1.4196513431353042,0.15458926473661724,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.18320947358218748,0.020925106738953654,1,1.3882018086949952,0.8901979334037998,-0.4088927291126065,0,0,0,1,-0.500349896772829,1,0,0
1093,-1.2702333488405422,1,-0.021985544368428755,-0.5713624451446244,0,0.8164974979455211,0,0,0,0,0.8213918370817433,-1.2468593807760893,0.15458926473661724,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,-0.6139648554942548,-0.791644876689231,1,-0.8228302160912931,-0.45081000205104355,0.4591894391273744,0,0,0,1,-0.500349896772829,1,0,0
2620,-0.689601239977869,1,-0.8074348208909211,0.6085411079665866,0,-0.3567523376018482,0,0,0,1,-1.2927838788882173,-0.009327447026668503,-0.6052315553367766,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,2.5367717784745407,1.646065073595323,1,-0.5771599911150389,-0.45081000205104355,-0.5524713250459332,0,0,0,1,-0.05359360505278807,1,0,0
899,1.6329271954728235,1,-1.9070638080224103,1.4934687727999947,0,0.6255777164843876,0,0,1,0,0.11666659842508961,1.4196513431353042,-2.1248731954835645,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,-0.3102793967984673,-0.1822173891180925,1,1.6338720336712496,-0.075112091584079,-0.5315547140513144,0,0,0,1,-0.05359360505278807,1,1,0
3866,-0.5444432127622008,0,0.9990985151108113,0.9035169962443892,0,-1.951223294091444,0,0,0,0,-1.1039533203043368,0.7051619480543181,0.9144100848100111,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,-1.411139184570697,-1.4010723642603695,1,-0.8228302160912931,-0.45081000205104355,-0.49500952891680766,0,0,0,0,-0.94710618849287,0,0,0
3404,-0.5928292218340901,1,-0.2576203273251764,-0.866338333422427,0,-0.07160800031384593,1,0,0,0,1.3372865171545167,-0.7238168421076542,-0.6052315553367766,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.3482400791354407,-0.1822173891180925,1,-0.5771599911150389,0.38587004211969456,-0.07998058822749869,0,0,0,0,-0.500349896772829,1,0,0
406,0.18134692331614063,1,0.3707390938928174,0.31356521968878376,0,0.11013069672617867,1,1,0,0,-1.1039533203043363,-0.7238168421076552,0.15458926473661724,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.7278469025051751,-0.5885023808321848,1,-0.33148976613878467,-0.4075081863156314,0.2704864751205588,0,0,0,1,-0.500349896772829,1,0,0
