,log_revenue
1027,19.37313840785606
601,18.858832676030932
1779,18.227904781801033
2500,15.91469455356128
2479,18.66609141262259
1254,17.87210318252075
2504,15.763036258456172
2157,16.339860332067794
1114,16.15821768856588
3791,15.495034264427844
2776,15.21780030803739
1172,17.52489192912803
156,19.171237534299916
3658,17.761970013037892
3657,15.76142084987672
204,20.198670742638633
2677,16.858443399615698
3469,17.761970013037892
1958,18.57488496234641
2071,18.95343956491421
1953,16.326300330915824
1654,14.865182221144217
2650,17.198235706962723
3721,3.951243718581427
3474,17.761970013037892
1063,18.852449004433552
2688,18.40497764310301
1106,17.23823753889999
218,20.34102417492696
385,18.413847329265177
486,20.218919767123623
1664,19.021110848207137
1004,18.14615260460978
3723,17.761970013037892
3708,17.761970013037892
1024,16.574580119270827
87,20.461451096263065
1328,18.95874910743223
1572,16.23975241846247
2336,17.312018149733785
851,19.014015760467434
3142,15.725778577377165
606,19.22565820652359
2331,17.463922303749523
2266,16.828628569901763
972,18.414231381451465
3233,18.02292764173386
754,19.339567451364378
3389,14.338124426544764
2732,17.944464190400666
1,20.727813923702396
2678,13.985914717163867
2938,16.55190056620812
1077,19.56857961323741
1768,18.42298641385148
1968,17.583947101858463
2437,17.485908170160883
1667,17.67079274234846
2405,11.26954094030024
1408,18.193780156307493
1716,18.621136224439255
2004,15.607270193858982
4,20.478787534733844
1911,17.82613160497795
1427,19.017728932677564
753,18.40899141922545
3106,16.815235898603987
535,18.038880896499
3237,17.761970013037892
238,18.46373591348011
1028,16.489659276356317
2937,18.197019558688815
1759,18.36652577994392
3136,17.422368944574078
833,18.88540450921501
2395,12.67384253182868
3800,17.761970013037892
2115,17.960273592862308
2253,18.32852619988812
2345,17.642340967780378
2790,16.221335218996053
898,17.7749104627067
2737,17.56847804113446
391,19.43120231335048
377,20.08284174692816
2057,17.761970013037892
945,19.334119837768803
2098,18.255484622206644
3735,17.761970013037892
2132,17.384622236252458
906,18.16665026482817
3763,15.898317928880395
549,18.88926803316192
2990,17.327856750733133
2890,14.69323549817724
3030,14.978661680269909
804,19.00437685950899
1199,17.857373505991344
1783,17.51564256398031
2194,15.818640142807183
