,popularity,runtime,vote_average,vote_count,has_tagline,release_year,release_month,is_indie,log_budget,is_mid_budget,is_summer,is_holiday,is_dump_month,month_sin,month_cos,decade,genre_Action,genre_Adventure,genre_Animation,genre_Comedy,genre_Crime,genre_Documentary,genre_Drama,genre_Family,genre_Fantasy,genre_History,genre_Horror,genre_Music,genre_Mystery,genre_Romance,genre_Science_Fiction,genre_Thriller,genre_War,genre_Western,is_franchise_genre,is_drama_only,has_superhero,has_sequel,has_imax,has_3d,has_franchise,has_dystopia,has_novel_adaptation,has_independent,tagline_length,tagline_word_count,is_english,director_film_count,director_median_revenue,actor1_median_revenue,is_top_director,is_top_actor,is_unknown_director,is_major_studio,studio_count,is_co_production,is_long_film,is_short_film,vote_reliability,log_vote_count
1654,-0.11393845542238987,-0.5928292218340901,0.47902182428663315,-0.27320405796297215,1,-0.2576203273251764,-0.866338333422427,0,-0.036453654122577436,1,0,0,0,1.3372865171545167,-0.7238168421076542,-0.6052315553367766,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,-0.2723187144614938,0.020925106738953654,1,0.40552090878997815,-0.5937857806444335,-0.49500952891680766,0,0,0,0,2.180187853547417,1,0,0,1,0.27188282059284913
2650,-0.39459360629845147,-0.3992851855465325,-0.03555625912230638,-0.5052224036228401,1,-1.5143391697611641,-0.2763865568668217,0,-0.24305268796049762,1,1,0,0,0.11666659842509014,-1.4383062371886408,-1.3650523754101704,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,6.256918647497938,5.3026299990221535,1,5.564595633291318,1.8580903114146785,7.2802273991571225,0,0,0,1,-0.94710618849287,0,0,0,1,-0.3945929789406822
3721,-0.6565206260977986,-1.125075321624874,-1.990952976076277,-0.6131035452353902,0,0.1351043109360697,-1.7512659982558352,1,0.1813444280954424,0,0,0,1,0.8213918370817433,1.2282044867227526,0.15458926473661724,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.411139184570697,-1.4010723642603695,1,-0.8228302160912931,-0.45081000205104355,-0.7394238423883092,0,0,0,0,-1.393862480212911,0,0,0,0,-1.8260883820277636
3474,-0.6976347763994479,-0.8347592671935373,-0.9617968092583978,-0.5968474828006224,1,0.920553587458562,-1.16131422170023,0,-0.7779747114545321,0,0,0,0,1.5261170757383973,-0.009327447026668153,0.9144100848100111,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,-0.6519255378312282,-0.791644876689231,1,-0.8228302160912931,-0.45081000205104355,-0.0721630475616797,0,0,0,0,0.8399189783872938,1,0,0,0,-1.2912133135853272
1063,0.08943744502698936,-0.4960572036903113,-0.13847187580409484,0.006104651143493179,1,0.920553587458562,-1.7512659982558352,0,0.2238303540105665,0,0,0,1,0.8213918370817433,1.2282044867227526,0.9144100848100111,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0.2970915205931078,0.020925106738953654,1,0.40552090878997815,0.1626802803362972,-0.5036233522940503,0,0,0,1,0.39316268666725285,1,0,0,1,0.6333192815025835
2688,-0.5863726202845975,-0.20574114925897477,-1.4763748926673375,-0.5103947871248117,1,0.6849188045018143,-1.4562901099780325,0,-0.10936867383175446,1,0,0,0,1.3372865171545165,0.7051619480543181,0.9144100848100111,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0.33505220293008126,0.42721009845304597,1,0.1598506838137239,1.11299905368733,-0.49500952891680766,0,0,0,0,-0.05359360505278807,1,0,0,1,-0.42190645109046615
1106,-0.3435796452892444,1.0039090775382609,0.5819374409684207,-0.016062706722099307,1,-0.2576203273251764,1.198492884522192,0,-0.24305268796049762,1,0,1,0,-0.5880586402315643,1.2282044867227522,-0.6052315553367766,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,-0.12047598511360005,0.020925106738953654,1,1.879542258647504,-0.6847044749915489,0.6835611331659543,0,0,0,0,-0.500349896772829,1,0,0,1,0.6112065136365217
218,2.7654962888848473,1.0522950866101504,0.8906842910137842,1.7580648344541525,1,0.9990985151108113,0.018589331410981062,0,1.1367962081754317,0,1,0,0,-0.5880586402315634,-1.2468593807760893,0.9144100848100111,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,-0.044554620439653164,-0.5885023808321848,1,-0.33148976613878467,0.06653037694220632,1.7917693914307384,0,0,0,1,1.7334315618273757,1,1,0,1,1.4549621898794554
385,0.6806526701995609,0.6168210049631455,0.27319059092305714,1.019891817529923,1,0.1351043109360697,-0.866338333422427,0,0.7184771033830403,0,0,0,0,1.3372865171545167,-0.7238168421076542,0.15458926473661724,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,-0.2343580321245204,0.020925106738953654,1,0.1598506838137239,0.7062959082068903,0.45557330387843287,0,0,0,0,0.39316268666725285,1,0,0,1,1.2257216637821406
486,0.5768268859097192,-0.9799172944092056,-0.03555625912230638,0.7132433670558934,1,0.44928402154506664,0.9035169962443892,0,1.1367962081754317,0,0,0,0,-1.1039533203043368,0.7051619480543181,0.15458926473661724,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,-0.38620076147241417,-0.5885023808321848,1,-0.08581954116253038,1.9248237675168922,1.0771554886472692,0,0,0,1,-0.94710618849287,0,0,0,1,1.0981383866312717
